policy_id,policy_name,summary,district,source,detail_url
20250316005400210619,서울청년 예비인턴,"ㅇ 대학 재학생에게 졸업 전 선제적으로 일경험 기회를 제공하여, 청년들의 직무역량을 향상시키고 기업 요구에 맞는 실무형 인재 양성",,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250316005400210619&tabKind=001
20250315005400210618,미래 청년 일자리 사업,"ㅇ 미래 변화를 주도할 신산업 분야 청년일자리 발굴 및 제공
ㅇ 기업맞춤형 직무교육과 일경험 병행을 통해 기업-청년 미스매치 완화",,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250315005400210618&tabKind=001
20250315005400210617,청년취업사관학교 조성 및 운영,ㅇ 디지털 신기술 분야 양질의 교육과정 제공 및 취업지원을 통해 청년일자리 미스매칭 해소,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250315005400210617&tabKind=001
20250315005400210616,서울 매력일자리,어려운 고용여건에 있는 실업시민이 안정된 생활기반 위에서 직업역량을 배양하고 체계적인 취·창업 지원을 통해 안정적 일자리 진입 지원,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250315005400210616&tabKind=001
20250315005400210614,서울시 일자리카페 운영,"ㅇ 취업준비 청년에게 일자리정보와 취업상담, 특강, 멘토링 등 취업 역량강화 프로그램과 스터디룸 대여, 이력서용 사진촬영 등 취업 준비 종합서비스 제공",,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250315005400210614&tabKind=001
20250315005400210613,서울형 청년인턴 직무캠프,ㅇ 실무중심 직무교육과 인턴십 과정의 접목으로 청년 구직자에게 일경험 및 취업역량 강화 지원,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250315005400210613&tabKind=001
20250315005400210612,2025 서울시 취업날개 서비스 지원,ㅇ 물가상승과 취업난으로 경제적 부담을 겪고 있는 구직 청년들을 지원,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250315005400210612&tabKind=001
20250309005400210602,서울형 강소기업 육성 지원,"청년에게는 우수 중소기업에서 일할 기회를, 중소기업에게는 청년 인재를 채용할 기회를 제공하여 청년과 중소기업의 일자리 미스매치 해소를 통한 청년 일자리 확대에 기여",,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250309005400210602&tabKind=001
20260804005400213319,2026. 「은평 청년 버스킹 페스타」 참가자 모집,"지역의 청년모임을 대상으로한 버스킹 경연을 통하여 청년들의 지역활동 참여 및 재능발현의 장을 마련하고, 지역 상권을 이용하는 주민들에게 공연을 제공하여 청년과 지역사회간의 연대감을 강화",은평구,자치구,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20260804005400213319&tabKind=001
20260706005400213250,"2026 청년 취업교육(N잡/프리랜서, 진로/취업 커리어 개발 교육)",취업·프리랜서 등 다양한 진로를 가진 청년 대상 맞춤형 커리어 개발 교육을 통해 청년들의 취업 역량을 강화하고 구직활동을 독려하고자 함,중랑구,자치구,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20260706005400213250&tabKind=001
20260520005400213208,2026년 서울청년정책네트워크 하반기 모집,청년의 능동적인 시정참여 기회를 제공하기 위해 청년정책네트워크 하반기 모집을 진행,,자치구,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20260520005400213208&tabKind=001
20260415005400212750,2026년 미취업청년 자격증 응시료 지원사업(중랑구),미취업 청년의 자격증 취득 비용을 지원하여 경제적 부담을 완화하고 취업역량을 강화하여 청년들의 구직활동을 촉진하고자 함,중랑구,자치구,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20260415005400212750&tabKind=001
20260415005400212749,중랑청년청 동네친구 커뮤니티(중랑구),중랑구 거주 및 활동 청년 소모임 운영을 통한 청년 취미 활동 및 교류 활성화,중랑구,자치구,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20260415005400212749&tabKind=001
20260415005400212748,2026년 중랑구 청년 창업 아카데미,창업 아이디어 발굴부터 비즈니스 모델 구축까지 단계별 창업 교육 및 멘토링을 통해 지역 청년 창업가를 양성하고자 함,중랑구,자치구,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20260415005400212748&tabKind=001
20260415005400212747,2026년 중랑구 청년 재테크 교육,사회초년생을 위한 재테크 교육을 통해 청년들의 자산 형성 및 투자  등 재무 관리 역량을 강화하고자 함,중랑구,자치구,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20260415005400212747&tabKind=001
20260410005400212688,2026년 중랑구 청년 취창업 특강 및 멘토링 운영,"전현직자 멘토링 및 특강을 통한 청년들의 다양한 진로 탐색 기회 제공 및 
청년 구직자의 활발한 취업활동 독려",중랑구,자치구,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20260410005400212688&tabKind=001
